ICD10,ICD10 String,PheCode,Phenotype,Excl. Phecodes,Excl. Phenotypes,sex,pregnancy_related,category,category_string
A17,Tuberculosis of nervous system,010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A17.0,Tuberculous meningitis,010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A17.1,Meningeal tuberculoma,010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A17.8,Other tuberculosis of nervous system,010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A17.9,"Tuberculosis of nervous system, unspecified",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A18,Tuberculosis of other organs,010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A18.0,Tuberculosis of bones and joints,010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A18.1,Tuberculosis of genitourinary system,010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A18.2,Tuberculous peripheral lymphadenopathy,010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A18.4,Tuberculosis of skin and subcutaneous tissue,010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A18.5,Tuberculosis of eye,010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A18.6,Tuberculosis of ear,010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A18.7,Tuberculosis of adrenal glands,010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A18.8,Tuberculosis of other specified organs,010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A19,Miliary tuberculosis,010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A19.0,Acute miliary tuberculosis of a single specified site,010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A19.1,Acute miliary tuberculosis of multiple sites,010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A19.2,"Acute miliary tuberculosis, unspecified",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A19.8,Other miliary tuberculosis,010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A19.9,"Miliary tuberculosis, unspecified",010,Tuberculosis,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A20,Plague,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A20.0,Bubonic plague,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A20.1,Cellulocutaneous plague,686,Other local infections of skin and subcutaneous tissue,680-686.99,Skin and subcutaneous tissue infections,Both,0.0,13.0,dermatologic
A20.2,Pneumonic plague,480.1,Bacterial pneumonia,480-488.99,Pneumonia and influenza,Both,0.0,9.0,respiratory
A20.3,Plague meningitis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A20.7,Septicaemic plague,038.1,Gram negative septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A20.8,Other forms of plague,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A20.9,"Plague, unspecified",041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A21,Tularaemia,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A21.0,Ulceroglandular tularaemia,686,Other local infections of skin and subcutaneous tissue,680-686.99,Skin and subcutaneous tissue infections,Both,0.0,13.0,dermatologic
A21.1,Oculoglandular tularaemia,369,Infection of the eye,369-374.99,infection/inflammation of eye,,0.0,7.0,sense organs
A21.2,Pulmonary tularaemia,480.1,Bacterial pneumonia,480-488.99,Pneumonia and influenza,Both,0.0,9.0,respiratory
A21.3,Gastrointestinal tularaemia,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A21.7,Generalized tularaemia,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A21.8,Other forms of tularaemia,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A21.9,"Tularaemia, unspecified",041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A22,Anthrax,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A22.0,Cutaneous anthrax,686,Other local infections of skin and subcutaneous tissue,680-686.99,Skin and subcutaneous tissue infections,Both,0.0,13.0,dermatologic
A22.1,Pulmonary anthrax,480.1,Bacterial pneumonia,480-488.99,Pneumonia and influenza,Both,0.0,9.0,respiratory
A22.2,Gastrointestinal anthrax,008,Intestinal infection,001-009.99,Intestinal infection,,0.0,1.0,infectious diseases
A22.7,Anthrax sepsis,038.2,Gram positive septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A22.8,Other forms of anthrax,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A22.9,"Anthrax, unspecified",041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A23,Brucellosis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A23.0,Brucellosis due to Brucella melitensis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A23.1,Brucellosis due to Brucella abortus,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A23.2,Brucellosis due to Brucella suis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A23.3,Brucellosis due to Brucella canis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A23.8,Other brucellosis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A23.9,"Brucellosis, unspecified",041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A24,Glanders and melioidosis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A24.0,Glanders,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A24.1,Acute and fulminating melioidosis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A24.2,Subacute and chronic melioidosis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A24.3,Other melioidosis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A24.4,"Melioidosis, unspecified",041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A25,Rat-bite fevers,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A25.0,Spirillosis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A25.1,Streptobacillosis,711,Arthropathy associated with infections,710-716.99,Arthropathies,,0.0,14.0,musculoskeletal
A25.9,"Rat-bite fever, unspecified",041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A26,Erysipeloid,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A26.0,Cutaneous erysipeloid,529.1,Glossitis,527-529.99,Diseases of mouth; excluding dental,Both,0.0,10.0,digestive
A26.0,Cutaneous erysipeloid,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A26.7,Erysipelothrix sepsis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A26.7,Erysipelothrix sepsis,994.2,Sepsis,994-994.99,Sepsis and SIRS,Both,0.0,18.0,injuries & poisonings
A26.8,Other forms of erysipeloid,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A26.9,"Erysipeloid, unspecified",041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A27,Leptospirosis,130,Spirochetal infection,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases
A27.0,Leptospirosis icterohaemorrhagica,130,Spirochetal infection,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases
A27.8,Other forms of leptospirosis,130,Spirochetal infection,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases
A27.9,"Leptospirosis, unspecified",130,Spirochetal infection,130-136.99,Other infections; including parasitic,,0.0,1.0,infectious diseases
A28.0,Pasteurellosis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A28.1,Cat-scratch disease,079,Viral infection,050-079.99,Viral infection,,0.0,1.0,infectious diseases
A28.2,Extraintestinal yersiniosis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A28.8,"Other specified zoonotic bacterial diseases, not elsewhere classified",041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A28.9,"Zoonotic bacterial disease, unspecified",041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A30,Leprosy [Hansen disease],031.1,Leprosy,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A30.0,Indeterminate leprosy,031.1,Leprosy,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A30.1,Tuberculoid leprosy,031.1,Leprosy,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A30.2,Borderline tuberculoid leprosy,031.1,Leprosy,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A30.3,Borderline leprosy,031.1,Leprosy,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A30.4,Borderline lepromatous leprosy,031.1,Leprosy,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A30.5,Lepromatous leprosy,031.1,Leprosy,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A30.8,Other forms of leprosy,031.1,Leprosy,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A30.9,"Leprosy, unspecified",031.1,Leprosy,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A31.0,Pulmonary mycobacterial infection,480.1,Bacterial pneumonia,480-488.99,Pneumonia and influenza,Both,0.0,9.0,respiratory
A31.1,Cutaneous mycobacterial infection,686,Other local infections of skin and subcutaneous tissue,680-686.99,Skin and subcutaneous tissue infections,Both,0.0,13.0,dermatologic
A31.8,Other mycobacterial infections,031,Diseases due to other mycobacteria,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A31.9,"Mycobacterial infection, unspecified",031,Diseases due to other mycobacteria,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A32,Listeriosis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A32.0,Cutaneous listeriosis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A32.1,Listerial meningitis and meningoencephalitis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A32.7,Listerial sepsis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A32.8,Other forms of listeriosis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A32.9,"Listeriosis, unspecified",041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A33,Tetanus neonatorum,657,Infections specific to the perinatal period,657-657.99,Infections specific to the perinatal period,Both,0.0,12.0,pregnancy complications
A34,Obstetrical tetanus,639,Complications following abortion or ectopic and molar pregnancies,634-639.99," miscarriage, early labor, hemorrhage",Female,1.0,12.0,pregnancy complications
A35,Other tetanus,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A36,Diphtheria,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A36.0,Pharyngeal diphtheria,465,Acute upper respiratory infections of multiple or unspecified sites,460-469.99,acute upper respiratory infections,,0.0,9.0,respiratory
A36.1,Nasopharyngeal diphtheria,465,Acute upper respiratory infections of multiple or unspecified sites,460-469.99,acute upper respiratory infections,,0.0,9.0,respiratory
A36.2,Laryngeal diphtheria,465,Acute upper respiratory infections of multiple or unspecified sites,460-469.99,acute upper respiratory infections,,0.0,9.0,respiratory
A36.3,Cutaneous diphtheria,686,Other local infections of skin and subcutaneous tissue,680-686.99,Skin and subcutaneous tissue infections,Both,0.0,13.0,dermatologic
A36.8,Other diphtheria,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A36.9,"Diphtheria, unspecified",041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A37,Whooping cough,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A37.0,Whooping cough due to Bordetella pertussis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A37.1,Whooping cough due to Bordetella parapertussis,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A37.9,"Whooping cough, unspecified",041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A38,Scarlet fever,041.2,Streptococcus infection,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A39,Meningococcal infection,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A39.0,Meningococcal meningitis,320,Meningitis,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM,,0.0,6.0,neurological
A39.1,Waterhouse-Friderichsen syndrome,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A39.2,Acute meningococcaemia,038.1,Gram negative septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A39.3,Chronic meningococcaemia,038.1,Gram negative septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A39.4,"Meningococcaemia, unspecified",038.1,Gram negative septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A39.5,Meningococcal heart disease,420,Carditis,420-425.99,Other peri-; endo-; and myocarditis,,0.0,8.0,circulatory system
A39.8,Other meningococcal infections,041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A39.9,"Meningococcal infection, unspecified",041,Bacterial infection NOS,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A40,Streptococcal sepsis,038.1,Gram negative septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A40.0,"Sepsis due to streptococcus, group A",038.1,Gram negative septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A40.1,"Sepsis due to streptococcus, group B",041.2,Streptococcus infection,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A40.1,"Sepsis due to streptococcus, group B",038.1,Gram negative septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A40.2,"Sepsis due to streptococcus, group D",041.2,Streptococcus infection,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A40.2,"Sepsis due to streptococcus, group D",038.1,Gram negative septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A40.3,Sepsis due to Streptococcus pneumoniae,038.2,Gram positive septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A40.8,Other streptococcal sepsis,038.1,Gram negative septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A40.9,"Streptococcal sepsis, unspecified",038.1,Gram negative septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A41.0,Sepsis due to Staphylococcus aureus,038.2,Gram positive septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A41.1,Sepsis due to other specified staphylococcus,038.2,Gram positive septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A41.2,Sepsis due to unspecified staphylococcus,038.2,Gram positive septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A41.3,Sepsis due to Haemophilus influenzae,038.1,Gram negative septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A41.4,Sepsis due to anaerobes,038,Septicemia,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
A41.5,Sepsis due to other Gram-negative organisms,038.1,Gram negative septicemia,010-041.99,bacterial infection,Both,0.0,1.0,infectious diseases
A41.8,Other specified sepsis,038,Septicemia,010-041.99,bacterial infection,,0.0,1.0,infectious diseases
