prowas_code,prowas_desc,cpt,cpt text,ccs,CCS Label
1.3,Craniectomy or craniotomy,61490,[EXPIRED]-Craniotomy for lobotomy; including cingulotomy,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61510,Craniectomy; trephination; bone flap craniotomy; for excision of brain tumor; supratentorial; except meningioma,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61512,Craniectomy; trephination; bone flap craniotomy; for excision of meningioma; supratentorial,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61514,Craniectomy; trephination; bone flap craniotomy; for excision of brain abscess; supratentorial,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61516,Craniectomy; trephination; bone flap craniotomy; for excision or fenestration of cyst; supratentorial,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61518,Craniectomy for excision of brain tumor; infratentorial or posterior fossa; except meningioma; cerebellopontine angle tumor; or midline tumor at base of skull,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61519,Craniectomy for excision of brain tumor; infratentorial or posterior fossa; meningioma,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61520,Craniectomy for excision of brain tumor; infratentorial or posterior fossa; cerebellopontine angle tumor,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61521,Craniectomy for excision of brain tumor; infratentorial or posterior fossa; midline tumor at base of skull,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61522,Craniectomy; infratentorial or posterior fossa; for excision of brain abscess,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61524,Craniectomy; infratentorial or posterior fossa; for excision or fenestration of cyst,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61526,Craniectomy; bone flap craniotomy; transtemporal (mastoid) for excision of cerebellopontine angle tumor,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61530,Craniectomy; bone flap craniotomy; transtemporal (mastoid) for excision of cerebellopontine angle tumor; combined with middle/posterior fossa craniotomy/craniectomy,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61534,Craniotomy with elevation of bone flap; for excision of epileptogenic focus without electrocorticography during surgery,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61535,Craniotomy with elevation of bone flap; for removal of epidural or subdural electrode array; without excision of cerebral tissue (separate procedure),1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61536,Craniotomy with elevation of bone flap; for excision of cerebral epileptogenic focus; with electrocorticography during surgery (includes removal of electrode array),1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61537,Craniotomy with elevation of bone flap; for lobectomy; temporal lobe; without electrocorticography during surgery,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61538,Craniotomy with elevation of bone flap; for lobectomy; temporal lobe; with electrocorticography during surgery,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61539,Craniotomy with elevation of bone flap; for lobectomy; other than temporal lobe; partial or total; with electrocorticography during surgery,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61540,Craniotomy with elevation of bone flap; for lobectomy; other than temporal lobe; partial or total; without electrocorticography during surgery,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61541,Craniotomy with elevation of bone flap; for transection of corpus callosum,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61542,[EXPIRED]-Craniotomy with elevation of bone flap; for total hemispherectomy,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61543,Craniotomy with elevation of bone flap; for partial or subtotal (functional) hemispherectomy,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61544,Craniotomy with elevation of bone flap; for excision or coagulation of choroid plexus,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61545,Craniotomy with elevation of bone flap; for excision of craniopharyngioma,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61556,Craniotomy for craniosynostosis; frontal or parietal bone flap,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61557,Craniotomy for craniosynostosis; bifrontal bone flap,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61570,Craniectomy or craniotomy; with excision of foreign body from brain,1,Incision and excision of CNS
1.3,Craniectomy or craniotomy,61571,Craniectomy or craniotomy; with treatment of penetrating wound of brain,1,Incision and excision of CNS
1.4,Other approaches,61575,Transoral approach to skull base; brain stem or upper spinal cord for biopsy; decompression or excision of lesion,1,Incision and excision of CNS
1.4,Other approaches,61576,Transoral approach to skull base; brain stem or upper spinal cord for biopsy; decompression or excision of lesion; requiring splitting of tongue and/or mandible (including tracheostomy),1,Incision and excision of CNS
1.4,Other approaches,61582,Craniofacial approach to anterior cranial fossa; extradural; including unilateral or bifrontal craniotomy; elevation of frontal lobe(s); osteotomy of base of anterior cranial fossa,1,Incision and excision of CNS
1.4,Other approaches,61583,Craniofacial approach to anterior cranial fossa; intradural; including unilateral or bifrontal craniotomy; elevation or resection of frontal lobe; osteotomy of base of anterior cranial fossa,1,Incision and excision of CNS
1.4,Other approaches,61584,Orbitocranial approach to anterior cranial fossa; extradural; including supraorbital ridge osteotomy and elevation of frontal and/or temporal lobe(s); without orbital exenteration,1,Incision and excision of CNS
1.4,Other approaches,61585,Orbitocranial approach to anterior cranial fossa; extradural; including supraorbital ridge osteotomy and elevation of frontal and/or temporal lobe(s); with orbital exenteration,1,Incision and excision of CNS
1.4,Other approaches,61586,Bicoronal; transzygomatic and/or LeFort I osteotomy approach to anterior cranial fossa with or without internal fixation; without bone graft,1,Incision and excision of CNS
1.4,Other approaches,61590,Infratemporal pre-auricular approach to middle cranial fossa (parapharyngeal space; infratemporal and midline skull base; nasopharynx); with or without disarticulation of the mandible; including parotidectomy; craniotomy; decompression and/or mobilization of the facial nerve and/or petrous carotid artery,1,Incision and excision of CNS
1.4,Other approaches,61591,Infratemporal post-auricular approach to middle cranial fossa (internal auditory meatus; petrous apex; tentorium; cavernous sinus; parasellar area; infratemporal fossa) including mastoidectomy; resection of sigmoid sinus; with or without decompression and/or mobilization of contents of auditory canal or petrous carotid artery,1,Incision and excision of CNS
1.4,Other approaches,61592,Orbitocranial zygomatic approach to middle cranial fossa (cavernous sinus and carotid artery; clivus; basilar artery or petrous apex) including osteotomy of zygoma; craniotomy; extra- or intradural elevation of temporal lobe,1,Incision and excision of CNS
1.4,Other approaches,61595,Transtemporal approach to posterior cranial fossa; jugular foramen or midline skull base; including mastoidectomy; decompression of sigmoid sinus and/or facial nerve; with or without mobilization,1,Incision and excision of CNS
1.4,Other approaches,61596,Transcochlear approach to posterior cranial fossa; jugular foramen or midline skull base; including labyrinthectomy; decompression; with or without mobilization of facial nerve and/or petrous carotid artery,1,Incision and excision of CNS
1.4,Other approaches,61598,Transpetrosal approach to posterior cranial fossa; clivus or foramen magnum; including ligation of superior petrosal sinus and/or sigmoid sinus,1,Incision and excision of CNS
1.5,Resection or excision,61600,Resection or excision of neoplastic; vascular or infectious lesion of base of anterior cranial fossa; extradural,1,Incision and excision of CNS
1.5,Resection or excision,61601,Resection or excision of neoplastic; vascular or infectious lesion of base of anterior cranial fossa; intradural; including dural repair; with or without graft,1,Incision and excision of CNS
1.5,Resection or excision,61605,Resection or excision of neoplastic; vascular or infectious lesion of infratemporal fossa; parapharyngeal space; petrous apex; extradural,1,Incision and excision of CNS
1.5,Resection or excision,61606,Resection or excision of neoplastic; vascular or infectious lesion of infratemporal fossa; parapharyngeal space; petrous apex; intradural; including dural repair; with or without graft,1,Incision and excision of CNS
1.5,Resection or excision,61607,Resection or excision of neoplastic; vascular or infectious lesion of parasellar area; cavernous sinus; clivus or midline skull base; extradural,1,Incision and excision of CNS
1.5,Resection or excision,61608,Resection or excision of neoplastic; vascular or infectious lesion of parasellar area; cavernous sinus; clivus or midline skull base; intradural; including dural repair; with or without graft,1,Incision and excision of CNS
1.5,Resection or excision,61615,Resection or excision of neoplastic; vascular or infectious lesion of base of posterior cranial fossa; jugular foramen; foramen magnum; or C1-C3 vertebral bodies; extradural,1,Incision and excision of CNS
1.5,Resection or excision,61616,Resection or excision of neoplastic; vascular or infectious lesion of base of posterior cranial fossa; jugular foramen; foramen magnum; or C1-C3 vertebral bodies; intradural; including dural repair; with or without graft,1,Incision and excision of CNS
1.5,Resection or excision,61712,[EXPIRED]-Skull or spine microsurgery,1,Incision and excision of CNS
1.6,Lesion,61720,Creation of lesion by stereotactic method; including burr hole(s) and localizing and recording techniques; single or multiple stages; globus pallidus or thalamus,1,Incision and excision of CNS
1.6,Lesion,61735,Creation of lesion by stereotactic method; including burr hole(s) and localizing and recording techniques; single or multiple stages; subcortical structure(s) other than globus pallidus or thalamus,1,Incision and excision of CNS
1.7,Neurostimulation,61880,Revision or removal of intracranial neurostimulator electrodes,1,Incision and excision of CNS
1.8,Neuroendoscopy,62161,Neuroendoscopy; intracranial; with dissection of adhesions; fenestration of septum pellucidum or intraventricular cysts (including placement; replacement; or removal of ventricular catheter),1,Incision and excision of CNS
1.8,Neuroendoscopy,62162,Neuroendoscopy; intracranial; with fenestration or excision of colloid cyst; including placement of external ventricular catheter for drainage,1,Incision and excision of CNS
1.8,Neuroendoscopy,62163,Neuroendoscopy; intracranial; with retrieval of foreign body,1,Incision and excision of CNS
1.8,Neuroendoscopy,62164,Neuroendoscopy; intracranial; with excision of brain tumor; including placement of external ventricular catheter for drainage,1,Incision and excision of CNS
2.1,Insert ventricular catheter or shunt,61107,Twist drill hole(s) for subdural; intracerebral; or ventricular puncture; for implanting ventricular catheter; pressure recording device; or other intracerebral monitoring device,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
2.1,Insert ventricular catheter or shunt,61210,Burr hole(s); for implanting ventricular catheter; reservoir; EEG electrode(s); pressure recording device; or other cerebral monitoring device (separate procedure),2,"Insertion, replacement, or removal of extracranial ventricular shunt"
2.1,Insert ventricular catheter or shunt,62160,Neuroendoscopy; intracranial; for placement or replacement of ventricular catheter and attachment to shunt system or external drainage (List separately in addition to code for primary procedure),2,"Insertion, replacement, or removal of extracranial ventricular shunt"
2.1,Insert ventricular catheter or shunt,62180,Ventriculocisternostomy (Torkildsen type operation),2,"Insertion, replacement, or removal of extracranial ventricular shunt"
2.1,Insert ventricular catheter or shunt,62190,Creation of shunt; subarachnoid/subdural-atrial; -jugular; -auricular,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
2.1,Insert ventricular catheter or shunt,62192,Creation of shunt; subarachnoid/subdural-peritoneal; -pleural; other terminus,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
2.2,Replacement of ventricular catheter or shunt,62194,Replacement or irrigation; subarachnoid/subdural catheter,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
2.1,Insert ventricular catheter or shunt,62200,Ventriculocisternostomy; third ventricle,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
2.1,Insert ventricular catheter or shunt,62201,Ventriculocisternostomy; third ventricle; stereotactic; neuroendoscopic method,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
2.1,Insert ventricular catheter or shunt,62220,Creation of shunt; ventriculo-atrial; -jugular; -auricular,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
2.1,Insert ventricular catheter or shunt,62223,Creation of shunt; ventriculo-peritoneal; -pleural; other terminus,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
2.2,Replacement of ventricular catheter or shunt,62225,Replacement or irrigation; ventricular catheter,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
2.2,Replacement of ventricular catheter or shunt,62230,Replacement or revision of cerebrospinal fluid shunt; obstructed valve; or distal catheter in shunt system,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
2.2,Replacement of ventricular catheter or shunt,62252,Reprogramming of programmable cerebrospinal shunt,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
2.3,Removal of ventricular catheter or shunt,62256,Removal of complete cerebrospinal fluid shunt system; without replacement,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
2.3,Removal of ventricular catheter or shunt,62258,Removal of complete cerebrospinal fluid shunt system; with replacement by similar or other shunt at same operation,2,"Insertion, replacement, or removal of extracranial ventricular shunt"
2.1,Insert ventricular catheter or shunt,0169T,Stereotactic placement of infusion catheter(s) in the brain for delivery of therapeutic agent(s); including computerized stereotactic planning and burr hole(s),2,"Insertion, replacement, or removal of extracranial ventricular shunt"
3.1,arthroplasty,22856,Total disc arthroplasty (artificial disc); anterior approach; including discectomy with end plate preparation (includes osteophytectomy for nerve root or spinal cord decompression and microdissection); single interspace; cervical,3,"Laminectomy, excision intervertebral disc"
3.1,arthroplasty,22858,Total disc arthroplasty (artificial disc); anterior approach; including discectomy with end plate preparation (includes osteophytectomy for nerve root or spinal cord decompression and microdissection); second level; cervical (List separately in addition to code for primary procedure),3,"Laminectomy, excision intervertebral disc"
3.1,arthroplasty,22861,Revision including replacement of total disc arthroplasty (artificial disc); anterior approach; single interspace; cervical,3,"Laminectomy, excision intervertebral disc"
3.1,arthroplasty,22864,Removal of total disc arthroplasty (artificial disc); anterior approach; single interspace; cervical,3,"Laminectomy, excision intervertebral disc"
3.2,cervical laminectomy,61343,Craniectomy; suboccipital with cervical laminectomy for decompression of medulla and spinal cord; with or without dural graft (eg; Arnold-Chiari malformation),3,"Laminectomy, excision intervertebral disc"
3.3,decompression laminectomy,62287,Decompression procedure; percutaneous; of nucleus pulposus of intervertebral disc; any method utilizing needle based technique to remove disc material under fluoroscopic imaging or other form of indirect visualization; with the use of an endoscope; with discography and/or epidural injection(s) at the treated level(s); when performed; single or multiple levels; lumbar,3,"Laminectomy, excision intervertebral disc"
3.4,catheter placement,62351,Implantation; revision or repositioning of tunneled intrathecal or epidural catheter; for long-term medication administration via an external pump or implantable reservoir/infusion pump; with laminectomy,3,"Laminectomy, excision intervertebral disc"
3.5,exploratory laminectomy,63001,Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina; without facetectomy; foraminotomy or discectomy (eg; spinal stenosis); 1 or 2 vertebral segments; cervical,3,"Laminectomy, excision intervertebral disc"
3.5,exploratory laminectomy,63003,Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina; without facetectomy; foraminotomy or discectomy (eg; spinal stenosis); 1 or 2 vertebral segments; thoracic,3,"Laminectomy, excision intervertebral disc"
3.5,exploratory laminectomy,63005,Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina; without facetectomy; foraminotomy or discectomy (eg; spinal stenosis); 1 or 2 vertebral segments; lumbar; except for spondylolisthesis,3,"Laminectomy, excision intervertebral disc"
3.5,exploratory laminectomy,63011,Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina; without facetectomy; foraminotomy or discectomy (eg; spinal stenosis); 1 or 2 vertebral segments; sacral,3,"Laminectomy, excision intervertebral disc"
3.5,exploratory laminectomy,63012,Laminectomy with removal of abnormal facets and/or pars inter-articularis with decompression of cauda equina and nerve roots for spondylolisthesis; lumbar (Gill type procedure),3,"Laminectomy, excision intervertebral disc"
3.5,exploratory laminectomy,63015,Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina; without facetectomy; foraminotomy or discectomy (eg; spinal stenosis); more than 2 vertebral segments; cervical,3,"Laminectomy, excision intervertebral disc"
3.5,exploratory laminectomy,63016,Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina; without facetectomy; foraminotomy or discectomy (eg; spinal stenosis); more than 2 vertebral segments; thoracic,3,"Laminectomy, excision intervertebral disc"
3.5,exploratory laminectomy,63017,Laminectomy with exploration and/or decompression of spinal cord and/or cauda equina; without facetectomy; foraminotomy or discectomy (eg; spinal stenosis); more than 2 vertebral segments; lumbar,3,"Laminectomy, excision intervertebral disc"
3.3,decompression laminectomy,63020,Laminotomy (hemilaminectomy); with decompression of nerve root(s); including partial facetectomy; foraminotomy and/or excision of herniated intervertebral disc; 1 interspace; cervical,3,"Laminectomy, excision intervertebral disc"
3.3,decompression laminectomy,63030,Laminotomy (hemilaminectomy); with decompression of nerve root(s); including partial facetectomy; foraminotomy and/or excision of herniated intervertebral disc; 1 interspace; lumbar,3,"Laminectomy, excision intervertebral disc"
3.3,decompression laminectomy,63035,Laminotomy (hemilaminectomy); with decompression of nerve root(s); including partial facetectomy; foraminotomy and/or excision of herniated intervertebral disc; each additional interspace; cervical or lumbar (List separately in addition to code for primary procedure),3,"Laminectomy, excision intervertebral disc"
3.3,decompression laminectomy,63040,Laminotomy (hemilaminectomy); with decompression of nerve root(s); including partial facetectomy; foraminotomy and/or excision of herniated intervertebral disc; reexploration; single interspace; cervical,3,"Laminectomy, excision intervertebral disc"
3.3,decompression laminectomy,63042,Laminotomy (hemilaminectomy); with decompression of nerve root(s); including partial facetectomy; foraminotomy and/or excision of herniated intervertebral disc; reexploration; single interspace; lumbar,3,"Laminectomy, excision intervertebral disc"
3.3,decompression laminectomy,63043,Laminotomy (hemilaminectomy); with decompression of nerve root(s); including partial facetectomy; foraminotomy and/or excision of herniated intervertebral disc; reexploration; single interspace; each additional cervical interspace (List separately in addition to code for primary procedure),3,"Laminectomy, excision intervertebral disc"
3.3,decompression laminectomy,63044,Laminotomy (hemilaminectomy); with decompression of nerve root(s); including partial facetectomy; foraminotomy and/or excision of herniated intervertebral disc; reexploration; single interspace; each additional lumbar interspace (List separately in addition to code for primary procedure),3,"Laminectomy, excision intervertebral disc"
3.6,facetectomy and foraminotomy,63045,Laminectomy; facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord; cauda equina and/or nerve root[s]; [eg; spinal or lateral recess stenosis]); single vertebral segment; cervical,3,"Laminectomy, excision intervertebral disc"
3.6,facetectomy and foraminotomy,63046,Laminectomy; facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord; cauda equina and/or nerve root[s]; [eg; spinal or lateral recess stenosis]); single vertebral segment; thoracic,3,"Laminectomy, excision intervertebral disc"
3.6,facetectomy and foraminotomy,63047,Laminectomy; facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord; cauda equina and/or nerve root[s]; [eg; spinal or lateral recess stenosis]); single vertebral segment; lumbar,3,"Laminectomy, excision intervertebral disc"
3.6,facetectomy and foraminotomy,63048,Laminectomy; facetectomy and foraminotomy (unilateral or bilateral with decompression of spinal cord; cauda equina and/or nerve root[s]; [eg; spinal or lateral recess stenosis]); single vertebral segment; each additional segment; cervical; thoracic; or lumbar (List separately in addition to code for primary procedure),3,"Laminectomy, excision intervertebral disc"
3.2,cervical laminectomy,63050,Laminoplasty; cervical; with decompression of the spinal cord; 2 or more vertebral segments,3,"Laminectomy, excision intervertebral disc"
3.2,cervical laminectomy,63051,Laminoplasty; cervical; with decompression of the spinal cord; 2 or more vertebral segments; with reconstruction of the posterior bony elements (including the application of bridging bone graft and non-segmental fixation devices [eg; wire; suture; mini-plates]; when performed),3,"Laminectomy, excision intervertebral disc"
3.3,decompression laminectomy,63055,Transpedicular approach with decompression of spinal cord; equina and/or nerve root(s) (eg; herniated intervertebral disc); single segment; thoracic,3,"Laminectomy, excision intervertebral disc"
3.3,decompression laminectomy,63056,Transpedicular approach with decompression of spinal cord; equina and/or nerve root(s) (eg; herniated intervertebral disc); single segment; lumbar (including transfacet; or lateral extraforaminal approach) (eg; far lateral herniated intervertebral disc),3,"Laminectomy, excision intervertebral disc"
3.3,decompression laminectomy,63057,Transpedicular approach with decompression of spinal cord; equina and/or nerve root(s) (eg; herniated intervertebral disc); single segment; each additional segment; thoracic or lumbar (List separately in addition to code for primary procedure),3,"Laminectomy, excision intervertebral disc"
3.3,decompression laminectomy,63064,Costovertebral approach with decompression of spinal cord or nerve root(s) (eg; herniated intervertebral disc); thoracic; single segment,3,"Laminectomy, excision intervertebral disc"
3.3,decompression laminectomy,63066,Costovertebral approach with decompression of spinal cord or nerve root(s) (eg; herniated intervertebral disc); thoracic; each additional segment (List separately in addition to code for primary procedure),3,"Laminectomy, excision intervertebral disc"
3.7,disectomy,63075,Discectomy; anterior; with decompression of spinal cord and/or nerve root(s); including osteophytectomy; cervical; single interspace,3,"Laminectomy, excision intervertebral disc"
3.7,disectomy,63076,Discectomy; anterior; with decompression of spinal cord and/or nerve root(s); including osteophytectomy; cervical; each additional interspace (List separately in addition to code for primary procedure),3,"Laminectomy, excision intervertebral disc"
3.7,disectomy,63077,Discectomy; anterior; with decompression of spinal cord and/or nerve root(s); including osteophytectomy; thoracic; single interspace,3,"Laminectomy, excision intervertebral disc"
3.7,disectomy,63078,Discectomy; anterior; with decompression of spinal cord and/or nerve root(s); including osteophytectomy; thoracic; each additional interspace (List separately in addition to code for primary procedure),3,"Laminectomy, excision intervertebral disc"
3.8,vertebral corpectomy,63081,Vertebral corpectomy (vertebral body resection); partial or complete; anterior approach with decompression of spinal cord and/or nerve root(s); cervical; single segment,3,"Laminectomy, excision intervertebral disc"
3.8,vertebral corpectomy,63082,Vertebral corpectomy (vertebral body resection); partial or complete; anterior approach with decompression of spinal cord and/or nerve root(s); cervical; each additional segment (List separately in addition to code for primary procedure),3,"Laminectomy, excision intervertebral disc"
3.8,vertebral corpectomy,63085,Vertebral corpectomy (vertebral body resection); partial or complete; transthoracic approach with decompression of spinal cord and/or nerve root(s); thoracic; single segment,3,"Laminectomy, excision intervertebral disc"
3.8,vertebral corpectomy,63086,Vertebral corpectomy (vertebral body resection); partial or complete; transthoracic approach with decompression of spinal cord and/or nerve root(s); thoracic; each additional segment (List separately in addition to code for primary procedure),3,"Laminectomy, excision intervertebral disc"
3.8,vertebral corpectomy,63087,Vertebral corpectomy (vertebral body resection); partial or complete; combined thoracolumbar approach with decompression of spinal cord; cauda equina or nerve root(s); lower thoracic or lumbar; single segment,3,"Laminectomy, excision intervertebral disc"
3.8,vertebral corpectomy,63088,Vertebral corpectomy (vertebral body resection); partial or complete; combined thoracolumbar approach with decompression of spinal cord; cauda equina or nerve root(s); lower thoracic or lumbar; each additional segment (List separately in addition to code for primary procedure),3,"Laminectomy, excision intervertebral disc"
3.8,vertebral corpectomy,63090,Vertebral corpectomy (vertebral body resection); partial or complete; transperitoneal or retroperitoneal approach with decompression of spinal cord; cauda equina or nerve root(s); lower thoracic; lumbar; or sacral; single segment,3,"Laminectomy, excision intervertebral disc"
3.8,vertebral corpectomy,63091,Vertebral corpectomy (vertebral body resection); partial or complete; transperitoneal or retroperitoneal approach with decompression of spinal cord; cauda equina or nerve root(s); lower thoracic; lumbar; or sacral; each additional segment (List separately in addition to code for primary procedure),3,"Laminectomy, excision intervertebral disc"
3.8,vertebral corpectomy,63101,Vertebral corpectomy (vertebral body resection); partial or complete; lateral extracavitary approach with decompression of spinal cord and/or nerve root(s) (eg; for tumor or retropulsed bone fragments); thoracic; single segment,3,"Laminectomy, excision intervertebral disc"
3.8,vertebral corpectomy,63102,Vertebral corpectomy (vertebral body resection); partial or complete; lateral extracavitary approach with decompression of spinal cord and/or nerve root(s) (eg; for tumor or retropulsed bone fragments); lumbar; single segment,3,"Laminectomy, excision intervertebral disc"
3.8,vertebral corpectomy,63103,Vertebral corpectomy (vertebral body resection); partial or complete; lateral extracavitary approach with decompression of spinal cord and/or nerve root(s) (eg; for tumor or retropulsed bone fragments); thoracic or lumbar; each additional segment (List separately in addition to code for primary procedure),3,"Laminectomy, excision intervertebral disc"
3.9,myelectomy,63170,Laminectomy with myelotomy (eg; Bischof or DREZ type); cervical; thoracic; or thoracolumbar,3,"Laminectomy, excision intervertebral disc"
3.11,laminectomy with drainage,63172,Laminectomy with drainage of intramedullary cyst/syrinx; to subarachnoid space,3,"Laminectomy, excision intervertebral disc"
3.11,laminectomy with drainage,63173,Laminectomy with drainage of intramedullary cyst/syrinx; to peritoneal or pleural space,3,"Laminectomy, excision intervertebral disc"
3.12,laminectomy dentate,63180,Laminectomy and section of dentate ligaments; with or without dural graft; cervical; 1 or 2 segments,3,"Laminectomy, excision intervertebral disc"
3.12,laminectomy dentate,63182,Laminectomy and section of dentate ligaments; with or without dural graft; cervical; more than 2 segments,3,"Laminectomy, excision intervertebral disc"
